project_id,address,units,v2_status,v2_co_date,inspection_co_date,classification,delta_days,n_permits_with_inspections,n_permits_with_approved_final,multi_permit,per_permit,final_results_seen
135,2150 Kittredge St,169,Completed,2024-03-20,2024-03-20,agrees,0,3,2,1,B2021-00008=2024-03-20;B2023-01578=2024-03-05,Approved;Approved;Cancelled;Disapproved;Partially Approved;Site Cancellation
136,1951 Shattuck Ave,163,Completed,2024-10-24,2024-10-24,agrees,0,1,1,0,B2021-04893=2024-10-24,Approved;Partially Approved
901,2012 BERKELEY Way,142,Completed,2022-09-23,2022-09-21,agrees,-2,1,1,0,B2019-03862=2022-09-21,Approved
173,2000 DWIGHT Way,113,Completed,2025-06-17,2025-06-17,agrees,0,2,2,1,B2021-02404=2025-06-17;B2023-00675=2025-03-27,Approved;Disapproved;Approved;Disapproved;Site Cancellation
467,2100 San Pablo Ave,96,Completed,2023-05-02,2023-05-02,agrees,0,1,1,0,B2019-03689=2023-05-02,Approved;Cancelled;Partially Approved;Site Cancellation
899,2035 BLAKE St,82,Completed,2022-04-20,2022-04-20,agrees,0,1,1,0,B2016-00895=2022-04-20,Approved;Cancelled
897,2628 SHATTUCK Ave,78,Completed,2021-07-16,2021-07-16,agrees,0,1,1,0,B2019-01950=2021-07-16,Approved;Disapproved;Partially Approved;Rescheduled;Site Cancellation
168,3000 SAN PABLO Ave,78,Completed,2023-06-05,2023-06-05,agrees,0,1,1,0,B2020-04316=2023-06-05,Approved;Cancelled;Disapproved;Partially Approved;Site Cancellation
96,2099 M L KING JR Way,72,Completed,2024-05-17,2024-05-17,agrees,0,2,1,0,B2021-03950=2024-05-17,Approved;Cancelled;Partially Approved;Rescheduled;Site Cancellation
164,1752 SHATTUCK Ave,72,Completed,2026-05-26,2026-05-26,agrees,0,1,1,0,B2023-00774=2026-05-26,Approved;Cancelled;Disapproved;Partially Approved;Site Cancellation
890,2539 TELEGRAPH Ave,70,Completed,2019-09-30,2019-09-30,agrees,0,1,1,0,B2016-03471=2019-09-30,Approved;Disapproved;Partially Approved;Site Cancellation
902,2111 UNIVERSITY AVE,68,Completed,2022-03-04,2022-03-04,agrees,0,1,1,0,B2015-03005=2022-03-04,Approved;Cancelled;Site Cancellation
182,2072 Addison St,66,Completed,2023-07-18,2023-07-18,agrees,0,1,1,0,B2018-04293=2023-07-18,Approved;Cancelled;Disapproved;Partially Approved;Site Cancellation
228,2527 SAN PABLO Ave,63,Completed,2024-04-30,2024-04-30,agrees,0,1,1,0,B2018-03255=2024-04-30,Approved;Partially Approved;Site Cancellation
