owner_class,owner_name,apn,apn_normalized,situs,usecode,zone_class,lot_sqft,lot_acres,bldg_sqft_taxable,imps,has_building,lat,lon
bart,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,53-1597-39-4,053-1597-039-04,ADELINE ST BERKELEY 94703,0300,R-BMU,194348.0,4.462,0.0,0.0,False,37.85298946,-122.27027247
bart,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,58-2147-18-5,058-2147-018-05,DELAWARE ST BERKELEY 94702,0300,R-BMU,111720.0,2.565,0.0,0.0,False,37.87331645,-122.28377600
bart,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,58-2146-16-5,058-2146-016-05,ACTON ST BERKELEY 94702,0300,R-BMU,108657.0,2.494,0.0,0.0,False,37.87405209,-122.28399352
bart,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,53-1703-9,053-1703-009-00,ADELINE ST BERKELEY 94703,0300,R-BMU,79542.0,1.826,0.0,0.0,False,37.85275664,-122.26887497
bart,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,58-2144-24-1,058-2144-024-01,VIRGINIA ST BERKELEY 94702,0300,R-1,68986.0,1.584,0.0,0.0,False,37.87481443,-122.28555016
bart,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,58-2148-17-4,058-2148-017-04,1429 DELAWARE ST BERKELEY 94702,0300,R-BMU,67511.0,1.55,0.0,0.0,False,37.87341929,-122.28295030
bart,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,58-2149-19-4,058-2149-019-04,SACRAMENTO ST BERKELEY 94702,0300,R-BMU,65561.0,1.505,0.0,0.0,False,37.87424532,-122.28289080
bart,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,52-1525-7-4,052-1525-007-04,3372 M L KING JR WAY BERKELEY 94703,0300,,35124.0,0.806,0.0,0.0,False,37.84730096,-122.27138020
bart,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,58-2139-18-3,058-2139-018-03,VIRGINIA GDNS BERKELEY 94702,0300,R-1,19048.0,0.437,0.0,0.0,False,37.87521253,-122.28643856
bart,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,60-2409-70-2,060-2409-070-02,SANTA FE AVE BERKELEY 94706,0300,R-2,15063.0,0.346,0.0,0.0,False,37.88291467,-122.29073382
bart,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,60-2417-67-4,060-2417-067-04,1400 PERALTA AVE BERKELEY 94702,0300,R-2,12914.0,0.296,0.0,0.0,False,37.87894451,-122.28907976
bart,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,60-2391-74-2,060-2391-074-02,NEILSON ST BERKELEY 94702,0300,C-N,12394.0,0.285,0.0,0.0,False,37.88093729,-122.28981841
bart,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,60-2411-19-1,060-2411-019-01,GILMAN ST BERKELEY 94706,0300,C-N,12375.0,0.284,0.0,0.0,False,37.88179602,-122.29018883
bart,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,52-1527-14-3,052-1527-014-03,M L KING JR WAY BERKELEY 94703,0300,C-AC,5352.0,0.123,0.0,0.0,False,37.84824423,-122.27099119
bart,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,60-2414-30-6,060-2414-030-06,NEILSON ST BERKELEY 94702,0300,R-2,3563.0,0.082,0.0,0.0,False,37.87999718,-122.28935817
bart,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,60-2414-30-5,060-2414-030-05,NEILSON ST BERKELEY 94702,0300,R-2,1488.0,0.034,0.0,0.0,False,37.88014261,-122.28942153
bart,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,57-2064-7-3,057-2064-007-03,HEARST AVE BERKELEY 94709,0300,R-2,1308.0,0.03,0.0,0.0,False,37.87327498,-122.27432531
bart,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,59-2293-20-2,059-2293-020-02,ROSE ST BERKELEY 94702,0300,R-2,235.0,0.005,0.0,0.0,False,37.87750630,-122.28824832
bart,SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT,60-2414-30-7,060-2414-030-07,NEILSON ST BERKELEY 94702,0300,R-2,232.0,0.005,0.0,0.0,False,37.87992359,-122.28935526
berkeley_housing_authority,HOUSING AUTHORITY OF THE CITY OF BERKELEY,59-2270-4-3,059-2270-004-03,1408 M L KING JR WAY BERKELEY 94709,0300,R-2,13145.0,0.302,1212.0,0.0,True,37.88112185,-122.27437912
berkeley_housing_authority,HOUSING AUTHORITY OF THE CITY OF BERKELEY,54-1734-12,054-1734-012-00,SACRAMENTO ST BERKELEY 94703,0300,R-1,11700.0,0.269,0.0,0.0,False,37.85724253,-122.28053428
berkeley_housing_authority,HOUSING AUTHORITY OF THE CITY OF BERKELEY,54-1783-34,054-1783-034-00,1360 DWIGHT WAY BERKELEY 94702,0300,R-1,5602.0,0.129,2351.0,0.0,True,37.86162314,-122.28379107
berkeley_housing_authority,HOUSING AUTHORITY OF THE CITY OF BERKELEY,56-1921-20,056-1921-020-00,VALLEY ST BERKELEY 94702,0300,R-2,5261.0,0.121,0.0,0.0,False,37.86201507,-122.28408575
berkeley_housing_authority,HOUSING AUTHORITY OF THE CITY OF BERKELEY,56-1922-32,056-1922-032-00,WEST ST BERKELEY 94702,0300,R-2,4947.0,0.114,2375.0,0.0,True,37.86370330,-122.28524488
berkeley_housing_authority,HOUSING AUTHORITY OF THE CITY OF BERKELEY,54-1734-11-1,054-1734-011-01,2798 SACRAMENTO ST BERKELEY 94702,0300,R-3,4400.0,0.101,0.0,0.0,False,37.85692224,-122.28020721
berkeley_housing_authority,HOUSING AUTHORITY OF THE CITY OF BERKELEY,54-1734-11-2,054-1734-011-02,2798 SACRAMENTO ST BERKELEY 94702,0300,R-3,4093.0,0.094,0.0,0.0,False,37.85682516,-122.28016282
berkeley_housing_authority,HOUSING AUTHORITY OF THE CITY OF BERKELEY,59-2314-4,059-2314-004-00,880 JONES ST BERKELEY 94710,0300,R-2,2630.0,0.06,2120.0,0.0,True,37.87518727,-122.29916239
busd,BERKELEY UNIFIED SCHOOL DISTRICT,60-2445-1-3,060-2445-001-03,1325 GRANT ST BERKELEY 94703,0300,R-2,824055.0,18.918,0.0,0.0,False,37.88268790,-122.27737726
busd,BERKELEY UNIFIED SCHOOL DISTRICT,55-1900-1-3,055-1900-001-03,M L KING JR WAY BERKELEY 94704,0300,R-3,373740.0,8.58,0.0,0.0,False,37.86641000,-122.27150516
busd,BERKELEY UNIFIED SCHOOL DISTRICT,62-2884-1,062-2884-001-00,1780 TACOMA AVE BERKELEY 94707,0300,R-1,194380.0,4.462,0.0,0.0,False,37.89218886,-122.28081231
busd,BERKELEY UNIFIED SCHOOL DISTRICT,58-2129-17,058-2129-017-00,1701 SAN PABLO AVE BERKELEY 94702,0300,R-2,193778.0,4.449,112376.0,0.0,True,37.87314657,-122.29153493
busd,BERKELEY UNIFIED SCHOOL DISTRICT,57-2019-1-3,057-2019-001-03,2239 M L KING JR WAY BERKELEY 94704,0300,R-3,193489.0,4.442,0.0,0.0,False,37.86760012,-122.27126425
busd,BERKELEY UNIFIED SCHOOL DISTRICT,57-2020-5-3,057-2020-005-03,2223 M L KING JR WAY BERKELEY 94704,0300,R-3,167749.0,3.851,116000.0,0.0,True,37.86860013,-122.27106206
busd,BERKELEY UNIFIED SCHOOL DISTRICT,56-1980-1,056-1980-001-00,2020 BONAR ST BERKELEY 94702,0300,C-U,163090.0,3.744,0.0,0.0,False,37.86882238,-122.28842482
busd,BERKELEY UNIFIED SCHOOL DISTRICT,54-1712-6-1,054-1712-006-01,2455 STUART ST BERKELEY 94705,0300,R-2,154564.0,3.548,0.0,0.0,False,37.86033887,-122.25781185
busd,BERKELEY UNIFIED SCHOOL DISTRICT,55-1818-1,055-1818-001-00,MILVIA ST BERKELEY 94703,0300,R-2A,151835.0,3.486,0.0,0.0,False,37.86033388,-122.27051464
busd,BERKELEY UNIFIED SCHOOL DISTRICT,54-1732-1,054-1732-001-00,1500 DERBY ST BERKELEY 94703,0300,R-2,149148.0,3.424,0.0,0.0,False,37.85839857,-122.27898079
busd,BERKELEY UNIFIED SCHOOL DISTRICT,63-2973-11-1,063-2973-011-01,SPRUCE ST BERKELEY 94708,0300,R-1H,148326.0,3.405,0.0,0.0,False,37.89415975,-122.26751336
busd,BERKELEY UNIFIED SCHOOL DISTRICT,53-1605-15-1,053-1605-015-01,3081 KING ST BERKELEY 94703,0300,R-2A,145161.0,3.332,0.0,0.0,False,37.85288906,-122.27370151
busd,BERKELEY UNIFIED SCHOOL DISTRICT,64-4236-1,064-4236-001-00,2941 CLAREMONT AVE BERKELEY 94705,0300,R-1,144799.0,3.324,0.0,0.0,False,37.85713427,-122.24475834
busd,BERKELEY UNIFIED SCHOOL DISTRICT,53-1687-1-1,053-1687-001-01,2221 RUSSELL ST BERKELEY 94705,0300,R-2,144248.0,3.311,0.0,0.0,False,37.85758245,-122.26307212
busd,BERKELEY UNIFIED SCHOOL DISTRICT,54-1713-1-1,054-1713-001-01,2700 REGENT ST BERKELEY 94705,0300,C-C,135707.0,3.115,0.0,0.0,False,37.86097634,-122.25791492
busd,BERKELEY UNIFIED SCHOOL DISTRICT,58-2174-8,058-2174-008-00,2015 VIRGINIA ST BERKELEY 94709,0300,R-2A,127845.0,2.935,0.0,0.0,False,37.87691417,-122.27009159
busd,BERKELEY UNIFIED SCHOOL DISTRICT,54-1724-5,054-1724-005-00,2701 M L KING JR WAY BERKELEY 94703,0300,R-2A,124473.0,2.858,0.0,0.0,False,37.85926915,-122.27062035
busd,BERKELEY UNIFIED SCHOOL DISTRICT,60-2431-2,060-2431-002-00,1465 ACTON ST BERKELEY 94702,0300,R-1,117176.0,2.69,30576.0,0.0,True,37.87896776,-122.28404456
busd,BERKELEY UNIFIED SCHOOL DISTRICT,53-1676-1-2,053-1676-001-02,1720 OREGON ST BERKELEY 94703,0300,R-2,100381.0,2.304,0.0,0.0,False,37.85623448,-122.27406608
busd,BERKELEY UNIFIED SCHOOL DISTRICT,56-1969-33-1,056-1969-033-01,2228 8TH ST BERKELEY 94710,0300,R-2,91505.0,2.101,0.0,0.0,False,37.86486699,-122.29487507
busd,BERKELEY UNIFIED SCHOOL DISTRICT,56-1986-17-1,056-1986-017-01,ADDISON ST BERKELEY 94702,0300,R-2,86243.0,1.98,0.0,0.0,False,37.86776609,-122.28862309
busd,BERKELEY UNIFIED SCHOOL DISTRICT,55-1901-4-1,055-1901-004-01,M L KING JR WAY BERKELEY 94704,0300,R-2,85767.0,1.969,0.0,0.0,False,37.86615880,-122.27295375
busd,BERKELEY UNIFIED SCHOOL DISTRICT,59-2349-2,059-2349-002-00,1314 7TH ST BERKELEY 94710,0300,MULI,82000.0,1.882,1344.0,0.0,True,37.87879943,-122.30057003
busd,BERKELEY UNIFIED SCHOOL DISTRICT,54-1705-8-1,054-1705-008-01,2823 GARBER ST BERKELEY 94705,0300,R-2,62112.0,1.426,0.0,0.0,False,37.86120881,-122.25027085
busd,BERKELEY UNIFIED SCHOOL DISTRICT,56-1970-1-1,056-1970-001-01,ALLSTON WAY BERKELEY 94710,0300,R-2,57600.0,1.322,0.0,0.0,False,37.86537836,-122.29402645
busd,BERKELEY UNIFIED SCHOOL DISTRICT,61-2558-17,061-2558-017-00,OXFORD ST BERKELEY 94707,7000,R-1H,54847.0,1.259,0.0,50000.0,True,37.88746671,-122.26852158
busd,BERKELEY UNIFIED SCHOOL DISTRICT,59-2328-7-1,059-2328-007-01,1451 7TH ST BERKELEY 94710,0300,R-2,41468.0,0.952,0.0,0.0,False,37.87617672,-122.29861151
busd,BERKELEY UNIFIED SCHOOL DISTRICT,55-1894-7-2,055-1894-007-02,2000 BANCROFT WAY BERKELEY 94704,0300,C-DMU Buffer,37106.0,0.852,0.0,0.0,False,37.86689173,-122.26971027
busd,BERKELEY UNIFIED SCHOOL DISTRICT,54-1724-4,054-1724-004-00,1903 WARD ST BERKELEY 94703,0300,R-2A,27863.0,0.64,0.0,0.0,False,37.85913390,-122.27070958
busd,BERKELEY UNIFIED SCHOOL DISTRICT,55-1904-8-1,055-1904-008-01,2320 MCKINLEY AVE BERKELEY 94703,0300,R-2,26609.0,0.611,0.0,0.0,False,37.86597537,-122.27399673
busd,BERKELEY UNIFIED SCHOOL DISTRICT,58-2129-16,058-2129-016-00,1107 FRANCISCO ST BERKELEY 94702,0300,C-W,18554.0,0.426,10470.0,0.0,True,37.87285574,-122.29226735
busd,BERKELEY UNIFIED SCHOOL DISTRICT,58-2129-15,058-2129-015-00,1161 FRANCISCO ST BERKELEY 94702,0300,R-2,15230.0,0.35,8000.0,0.0,True,37.87308775,-122.29049984
busd,BERKELEY UNIFIED SCHOOL DISTRICT,54-1733-30-2,054-1733-030-02,1522 WARD ST BERKELEY 94703,0300,R-2,14589.0,0.335,0.0,0.0,False,37.85763282,-122.27869471
busd,BERKELEY UNIFIED SCHOOL DISTRICT,60-2445-1-2,060-2445-001-02,HOPKINS ST BERKELEY 94703,0300,R-2,12027.0,0.276,0.0,0.0,False,37.88301785,-122.27866630
busd,BERKELEY UNIFIED SCHOOL DISTRICT,57-2020-4,057-2020-004-00,ALLSTON WAY BERKELEY 94703,0300,C-DMU Buffer,3891.0,0.089,44000.0,0.0,True,37.86882555,-122.27091733
city_of_berkeley,CITY OF BERKELEY,60-2545-1,060-2545-001-00,201 UNIVERSITY AVE BERKELEY 94710,0300,,190723539.0,4378.41,351808.0,0.0,True,37.86237805,-122.32220549
city_of_berkeley,CITY OF BERKELEY,60-2521-3-1,060-2521-003-01,80 BOLIVAR DR BERKELEY 94710,0300,U,1320875.0,30.323,0.0,0.0,False,37.86312851,-122.30114430
city_of_berkeley,CITY OF BERKELEY,60-2507-1-1,060-2507-001-01,2925 BOLIVAR DR BERKELEY 94708,0300,U,587235.0,13.481,0.0,0.0,False,37.85146523,-122.29696957
city_of_berkeley,CITY OF BERKELEY,60-2468-1-3,060-2468-001-03,EUCLID AVE BERKELEY 94709,0300,R-1H,510337.0,11.716,0.0,0.0,False,37.88551598,-122.26093279
city_of_berkeley,CITY OF BERKELEY,53-1665-1,053-1665-001-00,2800 PARK ST BERKELEY 94702,0300,R-1,506826.0,11.635,0.0,0.0,False,37.85523805,-122.28389565
city_of_berkeley,CITY OF BERKELEY,56-1993-15-1,056-1993-015-01,2208 ACTON ST BERKELEY 94702,0300,R-2,263706.0,6.054,46604.0,0.0,True,37.86639191,-122.28448977
city_of_berkeley,CITY OF BERKELEY,60-2383-4,060-2383-004-00,1100 4TH ST BERKELEY 94710,0300,MULI,231443.0,5.313,0.0,0.0,False,37.88182941,-122.30463397
city_of_berkeley,CITY OF BERKELEY,60-2455-38-5,060-2455-038-05,1301 SHATTUCK AVE BERKELEY 94709,0300,R-2AH,172873.0,3.969,0.0,0.0,False,37.88401486,-122.26916486
city_of_berkeley,CITY OF BERKELEY,58-2122-1,058-2122-001-00,1718 8TH ST BERKELEY 94710,0300,R-2,160500.0,3.685,0.0,0.0,False,37.87161571,-122.29723304
city_of_berkeley,CITY OF BERKELEY,60-2469-61-1,060-2469-061-01,LA LOMA AVE BERKELEY 94708,0300,R-1H,159060.0,3.652,0.0,0.0,False,37.88488466,-122.25678267
city_of_berkeley,CITY OF BERKELEY,57-2017-16-1,057-2017-016-01,2100 M L KING JR WAY BERKELEY 94703,0300,R-2,151373.0,3.475,122783.0,0.0,True,37.86943701,-122.27344958
city_of_berkeley,CITY OF BERKELEY,57-2021-2,057-2021-002-00,CENTER ST BERKELEY 94704,0300,R-3,122113.0,2.803,0.0,0.0,False,37.86945423,-122.27122883
city_of_berkeley,CITY OF BERKELEY,60-2534-1-3,060-2534-001-03,GILMAN ST BERKELEY 94718,0300,U,117920.0,2.707,0.0,0.0,False,37.87132075,-122.31489338
city_of_berkeley,CITY OF BERKELEY,63-2975-10,063-2975-010-00,830 REGAL RD BERKELEY 94708,0300,R-1H,117224.0,2.691,0.0,0.0,False,37.89203608,-122.26366758
city_of_berkeley,CITY OF BERKELEY,60-2382-1-2,060-2382-001-02,1101 2ND ST BERKELEY 94710,0300,M,116067.0,2.665,29562.0,0.0,True,37.88077607,-122.30574305
city_of_berkeley,CITY OF BERKELEY,54-1711-27,054-1711-027-00,REGENT ST BERKELEY 94703,0300,R-2,110614.0,2.539,3499.0,0.0,True,37.86078884,-122.25645904
city_of_berkeley,CITY OF BERKELEY,60-2540-2-1,060-2540-002-01,GILMAN ST BERKELEY 94718,0300,U,96078.0,2.206,0.0,0.0,False,37.87449138,-122.31736158
city_of_berkeley,CITY OF BERKELEY,53-1678-1-2,053-1678-001-02,2828 M L KING JR WAY BERKELEY 94703,0300,R-2,95549.0,2.194,0.0,0.0,False,37.85655710,-122.27229828
city_of_berkeley,CITY OF BERKELEY,60-2468-1-1,060-2468-001-01,EUCLID AVE BERKELEY 94709,0300,R-1H,91933.0,2.11,0.0,0.0,False,37.88477150,-122.26197542
city_of_berkeley,CITY OF BERKELEY,57-2066-6-1,057-2066-006-01,1641 HEARST AVE BERKELEY 94703,0300,R-2,86909.0,1.995,0.0,0.0,False,37.87296373,-122.27887374
city_of_berkeley,CITY OF BERKELEY,60-2507-1-2,060-2507-001-02,POTTER ST BERKELEY 94708,0300,MULI,86754.0,1.992,0.0,0.0,False,37.85004816,-122.29710080
city_of_berkeley,CITY OF BERKELEY,61-2579-1,061-2579-001-00,SAN DIEGO RD BERKELEY 94707,0300,R-1H,85830.0,1.97,0.0,0.0,False,37.89521281,-122.27281308
city_of_berkeley,CITY OF BERKELEY,60-2469-42,060-2469-042-00,GLENDALE AVE BERKELEY 94708,0300,R-1H,82667.0,1.898,0.0,0.0,False,37.88537735,-122.25564365
city_of_berkeley,CITY OF BERKELEY,54-1772-1,054-1772-001-00,DWIGHT WAY BERKELEY 94703,0300,U,80690.0,1.852,0.0,0.0,False,37.85874347,-122.29859835
city_of_berkeley,CITY OF BERKELEY,56-1990-7,056-1990-007-00,WEST ST BERKELEY 94702,0300,R-2,80386.0,1.845,0.0,0.0,False,37.86773264,-122.28646869
city_of_berkeley,CITY OF BERKELEY,59-2286-1-4,059-2286-001-04,1300 ROSE ST BERKELEY 94702,0300,R-2,78443.0,1.801,0.0,0.0,False,37.87648675,-122.28811348
city_of_berkeley,CITY OF BERKELEY,57-2067-28-1,057-2067-028-01,1502 DELAWARE ST BERKELEY 94703,0300,R-2,77913.0,1.789,0.0,0.0,False,37.87280581,-122.28090739
city_of_berkeley,CITY OF BERKELEY,57-2065-31,057-2065-031-00,1701 HEARST AVE BERKELEY 94703,0300,R-2,77747.0,1.785,0.0,0.0,False,37.87327104,-122.27651499
city_of_berkeley,CITY OF BERKELEY,53-1614-18,053-1614-018-00,3012 SACRAMENTO ST BERKELEY 94702,0300,C-SA,75325.0,1.729,47424.0,0.0,True,37.85212833,-122.27913218
city_of_berkeley,CITY OF BERKELEY,57-2064-7-2,057-2064-007-02,0 HEARST AVE BERKELEY 94709,0300,R-2,73993.0,1.699,0.0,0.0,False,37.87350816,-122.27433260
city_of_berkeley,CITY OF BERKELEY,60-2528-7-1,060-2528-007-01,200 MARINA BLVD BERKELEY 94710,0300,U,73292.0,1.683,0.0,0.0,False,37.86616590,-122.31213156
city_of_berkeley,CITY OF BERKELEY,63-2976-12-1,063-2976-012-01,POPPY LN BERKELEY 94708,0300,R-1H,67438.0,1.548,0.0,0.0,False,37.89221870,-122.26102667
city_of_berkeley,CITY OF BERKELEY,61-2598-33,061-2598-033-00,SOUTHAMPTON AVE BERKELEY 94707,0300,R-1H,66361.0,1.523,0.0,0.0,False,37.89509505,-122.27383313
city_of_berkeley,CITY OF BERKELEY,56-1991-2,056-1991-002-00,WEST ST BERKELEY 94702,0300,R-2,58427.0,1.341,0.0,0.0,False,37.86627984,-122.28618157
city_of_berkeley,CITY OF BERKELEY,53-1652-3,053-1652-003-00,ASHBY AVE BERKELEY 94710,0300,C-W,48199.0,1.106,0.0,0.0,False,37.85271689,-122.28925063
city_of_berkeley,CITY OF BERKELEY,60-2362-1-10,060-2362-001-10,669 GILMAN ST BERKELEY 94710,0300,M,48150.0,1.105,22595.0,0.0,True,37.87977865,-122.30530561
city_of_berkeley,CITY OF BERKELEY,56-1948-1-5,056-1948-001-05,3RD ST BERKELEY 94710,0300,U,47473.0,1.09,0.0,0.0,False,37.86029943,-122.29925697
city_of_berkeley,CITY OF BERKELEY,62-2939-20-1,062-2939-020-01,MICHIGAN AVE BERKELEY 94707,0300,R-1H,44146.0,1.013,0.0,0.0,False,37.90133453,-122.27000806
city_of_berkeley,CITY OF BERKELEY,60-2466-15,060-2466-015-00,OXFORD ST BERKELEY 94709,0300,R-1H,42787.0,0.982,1877.0,0.0,True,37.88447983,-122.26801137
city_of_berkeley,CITY OF BERKELEY,60-2382-3-3,060-2382-003-03,1101 2ND ST BERKELEY 94710,0300,M,41034.0,0.942,4295.0,0.0,True,37.88182129,-122.30626063
city_of_berkeley,CITY OF BERKELEY,60-2362-1-8,060-2362-001-08,1203 2ND ST BERKELEY 94710,0300,M,39900.0,0.916,2225.0,0.0,True,37.87899582,-122.30556777
city_of_berkeley,CITY OF BERKELEY,60-2362-1-9,060-2362-001-09,1201 2ND ST BERKELEY 94710,0300,M,39900.0,0.916,13000.0,0.0,True,37.87985355,-122.30588993
city_of_berkeley,CITY OF BERKELEY,60-2485-46-1,060-2485-046-01,1421 QUEENS RD BERKELEY 94708,0300,R-1H,39868.0,0.915,0.0,0.0,False,37.88409702,-122.25066498
city_of_berkeley,CITY OF BERKELEY,60-2362-1-11,060-2362-001-11,1201 2ND ST BERKELEY 94710,0300,M,39630.0,0.91,2533.0,0.0,True,37.87997251,-122.30572013
city_of_berkeley,CITY OF BERKELEY,57-2021-1,057-2021-001-00,2180 MILVIA ST BERKELEY 94704,0300,C-DMU Buffer,38808.0,0.891,77145.0,0.0,True,37.86941385,-122.27088598
city_of_berkeley,CITY OF BERKELEY,54-1737-20,054-1737-020-00,OREGON ST BERKELEY 94702,0300,R-3,37924.0,0.871,0.0,0.0,False,37.85686962,-122.28056466
city_of_berkeley,CITY OF BERKELEY,61-2579-2,061-2579-002-00,SAN DIEGO RD BERKELEY 94707,0300,R-1H,35935.0,0.825,0.0,0.0,False,37.89444798,-122.27232366
city_of_berkeley,CITY OF BERKELEY,57-2023-20-3,057-2023-020-03,2025 CENTER ST BERKELEY 94704,0300,C-DMU Core,34267.0,0.787,248000.0,0.0,True,37.87050030,-122.26982483
city_of_berkeley,CITY OF BERKELEY,57-2097-2-1,057-2097-002-01,1904 6TH ST BERKELEY 94710,0300,C-W,33059.0,0.759,0.0,0.0,False,37.86881300,-122.29835799
city_of_berkeley,CITY OF BERKELEY,57-2057-12-2,057-2057-012-02,1901 HEARST AVE BERKELEY 94709,0300,R-2A,32803.0,0.753,0.0,0.0,False,37.87373323,-122.27262170
city_of_berkeley,CITY OF BERKELEY,55-1879-6-1,055-1879-006-01,2431 CHANNING WAY BERKELEY 94704,0300,C-T,32685.0,0.75,189867.0,0.0,True,37.86730598,-122.25933506
city_of_berkeley,CITY OF BERKELEY,56-1922-34-2,056-1922-034-02,BANCROFT WAY BERKELEY 94702,0300,R-2,31655.0,0.727,0.0,0.0,False,37.86462973,-122.28571227
city_of_berkeley,CITY OF BERKELEY,62-2920-1,062-2920-001-00,SAN FERNANDO AVE BERKELEY 94707,0300,R-1H,30471.0,0.7,0.0,0.0,False,37.89668490,-122.27822659
city_of_berkeley,CITY OF BERKELEY,57-2056-15-1,057-2056-015-01,1933 HEARST AVE BERKELEY 94709,0300,R-2A,30338.0,0.696,0.0,0.0,False,37.87387726,-122.27148671
city_of_berkeley,CITY OF BERKELEY,59-2286-2-3,059-2286-002-03,1330 ROSE ST BERKELEY 94702,0300,R-1,30171.0,0.693,0.0,0.0,False,37.87659438,-122.28738785
city_of_berkeley,CITY OF BERKELEY,61-2584-16,061-2584-016-00,SHATTUCK AVE BERKELEY 94707,0300,R-1H,29765.0,0.683,0.0,0.0,False,37.89228881,-122.27231473
city_of_berkeley,CITY OF BERKELEY,54-1771-2,054-1771-002-00,CARLETON ST BERKELEY 94703,0300,U,29035.0,0.667,0.0,0.0,False,37.85593233,-122.29758136
city_of_berkeley,CITY OF BERKELEY,58-2150-20-1,058-2150-020-01,1739 SACRAMENTO ST BERKELEY 94702,0300,R-2,28278.0,0.649,0.0,0.0,False,37.87351936,-122.28176646
city_of_berkeley,CITY OF BERKELEY,59-2312-12,059-2312-012-00,999 CEDAR ST BERKELEY 94710,0300,R-2,26000.0,0.597,8346.0,0.0,True,37.87487957,-122.29711407
city_of_berkeley,CITY OF BERKELEY,57-2028-17-1,057-2028-017-01,2090 KITTREDGE ST BERKELEY 94704,0300,C-DMU Corridor,25141.0,0.577,75000.0,0.0,True,37.86806544,-122.26858697
city_of_berkeley,CITY OF BERKELEY,60-2383-3,060-2383-003-00,1100 4TH ST BERKELEY 94710,0300,MULI,24622.0,0.565,0.0,0.0,False,37.88097054,-122.30487557
city_of_berkeley,CITY OF BERKELEY,57-2022-20,057-2022-020-00,CENTER ST BERKELEY 94704,0300,C-DMU Buffer,24571.0,0.564,33254.0,0.0,True,37.87015207,-122.27183746
city_of_berkeley,CITY OF BERKELEY,53-1634-30,053-1634-030-00,1011 FOLGER AVE BERKELEY 94710,0300,MULI,24425.0,0.561,8021.0,0.0,True,37.85083755,-122.28877414
city_of_berkeley,CITY OF BERKELEY,57-2051-9-1,057-2051-009-01,2035 BERKELEY WAY BERKELEY 94704,0300,C-DMU Buffer,23977.0,0.55,13685.0,0.0,True,37.87329939,-122.26931779
city_of_berkeley,CITY OF BERKELEY,58-2138-15,058-2138-015-00,WEST ST BERKELEY 94702,0300,R-1,22800.0,0.523,0.0,0.0,False,37.87565679,-122.28738304
city_of_berkeley,CITY OF BERKELEY,54-1771-1,054-1771-001-00,PARKER ST BERKELEY 94703,0300,U,22103.0,0.507,0.0,0.0,False,37.85699656,-122.29797190
city_of_berkeley,CITY OF BERKELEY,56-1977-19,056-1977-019-00,2121 10TH ST BERKELEY 94710,0300,C-W,21559.0,0.495,0.0,0.0,False,37.86696363,-122.29219708
city_of_berkeley,CITY OF BERKELEY,63-2956-17-1,063-2956-017-01,EUCLID AVE BERKELEY 94708,0300,R-1H,20861.0,0.479,0.0,0.0,False,37.89904096,-122.26756024
city_of_berkeley,CITY OF BERKELEY,57-2089-14-1,057-2089-014-01,1001 UNIVERSITY AVE BERKELEY 94710,0300,C-W,20800.0,0.478,18820.0,0.0,True,37.86902937,-122.29405040
city_of_berkeley,CITY OF BERKELEY,56-1949-6-1,056-1949-006-01,BOLIVAR DR BERKELEY 94710,0300,MULI,20699.0,0.475,0.0,0.0,False,37.86094866,-122.29951652
city_of_berkeley,CITY OF BERKELEY,56-1970-8-1,056-1970-008-01,2240 9TH ST BERKELEY 94710,0300,R-2,19855.0,0.456,7760.0,0.0,True,37.86456449,-122.29351119
city_of_berkeley,CITY OF BERKELEY,59-2286-19,059-2286-019-00,ROSE ST BERKELEY 94702,0300,R-2,19219.0,0.441,0.0,0.0,False,37.87652797,-122.28763455
city_of_berkeley,CITY OF BERKELEY,63-2975-9,063-2975-009-00,REGAL RD BERKELEY 94708,0300,R-1H,19187.0,0.44,0.0,0.0,False,37.89263840,-122.26381047
city_of_berkeley,CITY OF BERKELEY,60-2521-2-1,060-2521-002-01,1 BOLIVAR DR BERKELEY 94710,0300,C-W,18872.0,0.433,11700.0,0.0,True,37.86648276,-122.30264271
